DENOMINACIÓN;LOCALIDAD;PROVINCIA;FECHA DE CELEBRACION DE LA FIESTA ;FECHA_Resolucion;FIESTAS_de_interes_turistico;FIESTAS_INTERES_REGIONAL;FECHA_BOE;FECHA_ACTUALIZACION_BOE;OBSERVACIONES
FIESTA DEL CORPUS CHRISTI;VILLANUEVA DE LA FUENTE;CIUDAD REAL;Fecha variable según calendario nacional;19/05/2000;;13/06/2000;;;Fecha variable: siempre domingo
CRUCES DE MAYO;VILLANUEVA DE LOS INFANTES;CIUDAD REAL;30 de abril-3 de mayo;23/03/1999;;16/04/1999;;;
FIESTA DEL PIMIENTO;VILLANUEVA DE LOS INFANTES;CIUDAD REAL;1er fin de semana de septiembre;05/03/2019;;15/03/2019;;;
SEMANA SANTA;VILLAROBLEDO;ALBACETE;Fecha variable según calendario nacional;02/12/2008;;11/12/2008;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
VIÑA ROCK;VILLAROBLEDO;ALBACETE;primer fin de semana de mayo;28/02/2019;;11/03/2019;;;
CARNAVAL;VILLARROBLEDO;ALBACETE;Fecha variable según calendario nacional;11/01/2011;;;14/01/2011;;Fecha variable
SEMANA SANTA;VILLARRUBIA DE LOS OJOS;CIUDAD REAL;Fecha variable según calendario nacional;10/02/2014;;21/02/2014;;;De Domingo de Ramos a Domingo de Resurrección, ambos incluídos.
FIESTA DE LAS PACES;VILLARTA DE SAN JUAN;CIUDAD REAL;23-26 de enero;28/03/1994;;15/04/1994;;;
JORNADAS CALDERONIANAS;YEPES;TOLEDO;Fecha variable. En función del Corpus Christi;20/05/2015;;01/06/2015;;;Segundo fin de semana de junio
FERIA DE TRADICIONES POPULARES;YESTE;ALBACETE;20-22 de octubre;12/12/2014;;26/12/2014;;;
ROMERÍA DE SAN BARTOLOMÉ;YESTE;ALBACETE;24 de agosto;18/07/2022;;26/07/2022;;;
TORO ENMAROMADO;YUNCOS;TOLEDO;Febrero;10/07/2017;;27/07/2017;;;
